"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2020","7,940","8,345","8,345","7,500","15.46K","-2.82%"
"Mar 18, 2020","8,170","8,405","8,440","7,905","16.90K","-2.56%"
"Mar 17, 2020","8,385","8,230","8,550","8,165","31.28K","-1.35%"
"Mar 16, 2020","8,500","8,660","8,900","8,420","85.83K","0.24%"
"Mar 13, 2020","8,480","8,610","8,700","8,220","36.58K","-8.77%"
"Mar 12, 2020","9,295","9,710","9,710","9,100","14.29K","-5.25%"
"Mar 11, 2020","9,810","10,900","10,900","9,805","23.52K","-4.90%"
"Mar 10, 2020","10,315","10,120","10,755","9,800","25.16K","-1.06%"
"Mar 09, 2020","10,425","11,260","11,260","10,320","8.79K","-7.70%"
"Mar 06, 2020","11,295","11,265","11,320","11,180","12.56K","-3.05%"
"Mar 05, 2020","11,650","11,535","11,650","11,465","22.93K","2.42%"
"Mar 04, 2020","11,375","11,335","11,375","11,235","7.29K","0.35%"
"Mar 03, 2020","11,335","11,535","11,535","11,280","40.56K","-0.31%"
"Mar 02, 2020","11,370","11,315","11,430","11,075","23.03K","-2.11%"
"Feb 28, 2020","11,615","11,540","11,615","11,280","17.31K","-1.86%"
"Feb 27, 2020","11,835","12,035","12,035","11,750","5.57K","-1.82%"
"Feb 26, 2020","12,055","12,360","12,360","11,950","10.45K","-2.78%"
"Feb 25, 2020","12,400","12,380","12,410","12,290","3.52K","-2.82%"
"Feb 24, 2020","12,760","12,765","12,780","12,685","4.60K","-0.74%"
"Feb 21, 2020","12,855","12,815","12,885","12,815","4.09K","-0.73%"
"Feb 20, 2020","12,950","13,025","13,090","12,910","8.85K","-0.27%"
"Feb 19, 2020","12,985","12,975","13,000","12,920","2.05K","0.08%"
"Feb 18, 2020","12,975","12,985","12,990","12,950","1.99K","-0.23%"
"Feb 17, 2020","13,005","13,045","13,045","12,915","67.02K","0.04%"
"Feb 14, 2020","13,000","12,985","13,010","12,945","9.50K","0.12%"
"Feb 13, 2020","12,985","12,910","13,025","12,910","53.48K","0.70%"
"Feb 12, 2020","12,895","12,885","12,895","12,860","4.60K","0.16%"
"Feb 11, 2020","12,875","12,795","12,880","12,755","66.50K","0.82%"
"Feb 10, 2020","12,770","12,830","12,830","12,725","3.58K","-0.43%"
"Feb 07, 2020","12,825","12,840","12,845","12,780","11.64K","0.12%"
"Feb 06, 2020","12,810","12,695","12,810","12,690","9.77K","2.28%"
"Feb 05, 2020","12,525","12,530","12,540","12,500","13.34K","1.21%"
"Feb 04, 2020","12,375","12,325","12,375","12,290","66.50K","0.57%"
"Feb 03, 2020","12,305","12,380","12,385","12,225","56.26K","-1.72%"
"Jan 31, 2020","12,520","12,460","12,535","12,460","16.86K","0.40%"
"Jan 30, 2020","12,470","12,575","12,605","12,420","148.14K","-0.60%"
"Jan 29, 2020","12,545","12,495","12,550","12,490","21.36K","1.46%"
"Jan 28, 2020","12,365","12,330","12,415","12,310","18.31K","-2.48%"
"Jan 23, 2020","12,680","12,670","12,685","12,635","62.21K","-1.01%"
"Jan 22, 2020","12,810","12,770","12,810","12,760","5.74K","0.12%"
"Jan 21, 2020","12,795","12,800","12,825","12,780","15.79K","-0.43%"
"Jan 20, 2020","12,850","12,840","12,850","12,820","6.09K","0.78%"
"Jan 17, 2020","12,750","12,730","12,750","12,695","62.65K","0.16%"
"Jan 16, 2020","12,730","12,715","12,730","12,695","2.68K","0.12%"
"Jan 15, 2020","12,715","12,745","12,745","12,680","6.46K","-0.55%"
"Jan 14, 2020","12,785","12,780","12,785","12,735","295.72K","-0.04%"
"Jan 13, 2020","12,790","12,820","12,820","12,765","26.66K","-0.16%"
"Jan 10, 2020","12,810","12,785","12,815","12,770","4.78K","0.43%"
"Jan 09, 2020","12,755","12,715","12,755","12,695","5.13K","1.43%"
"Jan 08, 2020","12,575","12,665","12,665","11,780","39.19K","-1.02%"
"Jan 07, 2020","12,705","12,685","12,705","12,660","5.92K","0.16%"
"Jan 06, 2020","12,685","12,730","12,730","12,640","4.71K","-0.51%"
"Jan 03, 2020","12,750","12,805","12,835","12,660","25.10K","0.91%"
"Jan 02, 2020","12,635","12,635","12,635","12,595","42.14K","-0.86%"
"Dec 30, 2019","12,745","12,775","12,775","12,715","42.96K","-0.23%"
