"Date","Price","Open","High","Low","Change %"
"Apr 09, 2020","11.1646","11.1763","11.2257","11.1173","-0.10%"
"Apr 08, 2020","11.1763","11.1799","11.2612","11.1519","-0.01%"
"Apr 07, 2020","11.1779","11.2121","11.2660","11.0836","-0.30%"
"Apr 06, 2020","11.2121","11.4059","11.4154","11.2049","-1.66%"
"Apr 03, 2020","11.4010","11.3779","11.4538","11.3296","0.20%"
"Apr 02, 2020","11.3779","11.5396","11.5885","11.3681","-1.40%"
"Apr 01, 2020","11.5396","11.3329","11.5856","11.2924","1.82%"
"Mar 31, 2020","11.3329","11.3543","11.3618","11.2259","-0.22%"
"Mar 30, 2020","11.3581","11.2295","11.4532","11.2272","1.06%"
"Mar 27, 2020","11.2389","11.0717","11.3427","11.0589","1.51%"
"Mar 26, 2020","11.0717","11.0876","11.1838","11.0484","-0.14%"
"Mar 25, 2020","11.0871","11.0965","11.1568","11.0124","-0.08%"
"Mar 24, 2020","11.0965","11.4463","11.4917","11.0604","-3.06%"
"Mar 23, 2020","11.4463","11.3023","11.6414","11.2795","1.07%"
"Mar 20, 2020","11.3247","11.3663","11.4362","11.2157","-0.37%"
"Mar 19, 2020","11.3663","11.6262","11.8826","11.3246","-1.95%"
"Mar 18, 2020","11.5926","11.5372","11.7681","11.4514","0.69%"
"Mar 17, 2020","11.5129","11.6412","11.7273","11.4883","-1.14%"
"Mar 16, 2020","11.6457","11.2261","11.6943","11.2261","3.72%"
"Mar 13, 2020","11.2280","11.5742","11.7066","11.1712","-2.99%"
"Mar 12, 2020","11.5745","11.4109","11.6791","11.3618","1.46%"
"Mar 11, 2020","11.4081","11.2245","11.5004","11.2203","1.64%"
"Mar 10, 2020","11.2239","11.7338","11.7676","11.1880","-4.34%"
"Mar 09, 2020","11.7331","11.3319","11.8660","11.3297","3.94%"
"Mar 06, 2020","11.2881","11.1989","11.3543","11.1747","0.81%"
"Mar 05, 2020","11.1979","11.0160","11.2253","10.9856","1.60%"
"Mar 04, 2020","11.0218","11.0255","11.1063","10.9709","-0.02%"
"Mar 03, 2020","11.0235","10.9876","11.1026","10.9508","0.36%"
"Mar 02, 2020","10.9838","11.1764","11.2208","10.9605","-1.09%"
"Feb 28, 2020","11.1053","11.0657","11.2182","11.0485","0.36%"
"Feb 27, 2020","11.0651","10.9801","11.0754","10.9377","0.75%"
"Feb 26, 2020","10.9831","11.0333","11.0755","10.9649","-0.46%"
"Feb 25, 2020","11.0343","11.0155","11.0776","10.8924","0.21%"
"Feb 24, 2020","11.0108","10.8169","11.0484","10.7985","1.79%"
"Feb 21, 2020","10.8175","10.7458","10.8911","10.7236","0.64%"
"Feb 20, 2020","10.7488","10.7125","10.8116","10.7088","0.34%"
"Feb 19, 2020","10.7126","10.8445","10.8664","10.6869","-1.18%"
"Feb 18, 2020","10.8400","10.7871","10.8684","10.7772","0.49%"
"Feb 17, 2020","10.7873","10.7727","10.7891","10.7356","0.04%"
"Feb 14, 2020","10.7828","10.7871","10.8090","10.7523","-0.04%"
"Feb 13, 2020","10.7871","10.7145","10.8038","10.7078","0.68%"
"Feb 12, 2020","10.7145","10.7677","10.7889","10.7056","-0.50%"
"Feb 11, 2020","10.7688","10.8247","10.8331","10.7429","-0.51%"
"Feb 10, 2020","10.8237","10.8631","10.9019","10.7959","-0.39%"
