"Date","Price","Open","High","Low","Vol.","Change %"
"May 29, 2020","11,155","11,090","11,155","11,090","1.28K","0.04%"
"May 28, 2020","11,150","11,145","11,150","11,060","2.75K","0.72%"
"May 27, 2020","11,070","11,110","11,110","11,020","0.91K","0.36%"
"May 26, 2020","11,030","10,995","11,030","10,990","0.73K","0.50%"
"May 25, 2020","10,975","10,930","10,975","10,925","3.55K","0.41%"
"May 22, 2020","10,930","11,010","11,015","10,925","1.59K","0.14%"
"May 21, 2020","10,915","10,990","10,990","10,890","2.90K","0.05%"
"May 20, 2020","10,910","10,845","10,930","10,830","1.85K","0.60%"
"May 19, 2020","10,845","10,805","10,905","10,805","1.82K","0.65%"
"May 18, 2020","10,775","10,785","10,790","10,710","0.89K","-0.09%"
"May 15, 2020","10,785","10,720","10,790","10,715","3.13K","0.19%"
"May 14, 2020","10,765","10,865","10,870","10,765","1.24K","-1.46%"
"May 13, 2020","10,925","10,825","10,925","10,825","0.75K","0.88%"
"May 12, 2020","10,830","10,790","10,835","10,785","1.55K","-0.37%"
"May 11, 2020","10,870","10,900","10,900","10,810","1.14K","-0.28%"
"May 08, 2020","10,900","10,770","10,900","10,770","1.57K","0.88%"
"May 07, 2020","10,805","10,760","10,825","10,760","0.88K","0.19%"
"May 06, 2020","10,785","10,870","10,875","10,745","4.93K","-0.37%"
"May 04, 2020","10,825","10,820","10,830","10,740","0.81K","0.05%"
"Apr 29, 2020","10,820","10,795","10,820","10,795","0.64K","0.23%"
"Apr 28, 2020","10,795","10,805","10,810","10,680","1.93K","0.00%"
"Apr 27, 2020","10,795","10,740","10,800","10,735","2.44K","0.56%"
"Apr 24, 2020","10,735","10,735","10,790","10,735","1.00K","-0.60%"
"Apr 23, 2020","10,800","10,855","10,855","10,745","0.35K","-0.37%"
"Apr 22, 2020","10,840","10,695","10,850","10,695","1.20K","-1.00%"
"Apr 21, 2020","10,950","11,000","11,000","10,875","0.77K","-0.32%"
"Apr 20, 2020","10,985","10,940","11,060","10,940","4.15K","0.14%"
"Apr 17, 2020","10,970","10,865","11,020","10,865","1.77K","-0.09%"
"Apr 16, 2020","10,980","10,910","10,980","10,905","3.78K","0.46%"
"Apr 14, 2020","10,930","10,845","10,985","10,845","2.53K","0.78%"
"Apr 13, 2020","10,845","10,775","10,900","10,775","2.35K","0.09%"
"Apr 10, 2020","10,835","11,000","11,000","10,770","5.68K","3.73%"
"Apr 09, 2020","10,445","10,425","10,555","10,425","7.61K","-0.52%"
"Apr 08, 2020","10,500","10,530","10,535","10,425","0.57K","0.91%"
"Apr 07, 2020","10,405","10,300","10,445","10,300","3.36K","0.43%"
"Apr 06, 2020","10,360","10,260","10,385","10,255","1.92K","0.24%"
"Apr 03, 2020","10,335","10,340","10,425","10,335","7.49K","-0.67%"
"Apr 02, 2020","10,405","10,505","10,505","10,370","2.42K","-0.95%"
"Apr 01, 2020","10,505","10,440","10,585","10,440","9.40K","0.62%"
"Mar 31, 2020","10,440","10,445","10,590","10,440","6.12K","-0.14%"
"Mar 30, 2020","10,455","10,485","10,500","10,430","0.92K","0.29%"
"Mar 27, 2020","10,425","10,280","10,430","10,280","1.12K","2.86%"
"Mar 26, 2020","10,135","9,980","10,135","9,980","1.59K","1.65%"
"Mar 25, 2020","9,970","9,760","9,970","9,760","4.73K","2.73%"
"Mar 24, 2020","9,705","10,125","10,125","9,700","2.30K","-4.15%"
"Mar 23, 2020","10,125","9,975","10,125","9,970","22.13K","-0.20%"
"Mar 20, 2020","10,145","10,145","10,145","9,995","0.80K","-0.69%"
"Mar 19, 2020","10,215","10,215","10,370","10,210","3.72K","-3.63%"
"Mar 18, 2020","10,600","10,525","10,600","10,515","2.80K","-0.61%"
"Mar 17, 2020","10,665","10,585","10,665","10,580","0.81K","-3.40%"
"Mar 16, 2020","11,040","11,060","11,060","10,260","1.75K","1.56%"
"Mar 13, 2020","10,870","10,005","10,950","10,005","5.92K","-3.21%"
"Mar 12, 2020","11,230","11,415","11,415","11,230","1.12K","-1.45%"
"Mar 11, 2020","11,395","11,395","11,400","11,325","1.45K","-0.44%"
"Mar 10, 2020","11,445","11,645","11,695","11,295","2.97K","-2.22%"
"Mar 09, 2020","11,705","11,725","11,725","11,655","2.20K","-0.89%"
"Mar 06, 2020","11,810","11,800","11,870","11,800","0.55K","-0.67%"
"Mar 05, 2020","11,890","11,850","11,890","11,850","1.77K","0.55%"
"Mar 04, 2020","11,825","11,815","11,895","11,815","2.84K","-0.17%"
"Mar 03, 2020","11,845","11,800","11,845","11,800","0.55K","0.38%"
"Mar 02, 2020","11,800","11,720","11,800","11,720","22.63K","0.04%"
"Feb 28, 2020","11,795","11,900","11,900","11,795","3.92K","-1.09%"
"Feb 27, 2020","11,925","11,820","11,955","11,820","2.70K","-0.17%"
"Feb 26, 2020","11,945","11,985","11,985","11,910","1.71K","-0.46%"
"Feb 25, 2020","12,000","12,000","12,000","11,925","2.49K","-0.21%"
"Feb 24, 2020","12,025","11,990","12,040","11,990","4.17K","-0.12%"
"Feb 21, 2020","12,040","12,000","12,055","12,000","1.78K","-0.21%"
"Feb 20, 2020","12,065","12,025","12,065","11,995","4.84K","0.37%"
"Feb 19, 2020","12,020","11,980","12,050","11,980","0.52K","0.12%"
"Feb 18, 2020","12,005","12,060","12,060","11,995","1.43K","-0.17%"
"Feb 17, 2020","12,025","12,040","12,055","11,995","6.97K","-0.12%"
"Feb 14, 2020","12,040","12,065","12,065","11,995","1.39K","0.25%"
"Feb 13, 2020","12,010","12,065","12,065","11,985","2.91K","-0.04%"
"Feb 12, 2020","12,015","11,975","12,050","11,970","20.34K","0.50%"
"Feb 11, 2020","11,955","12,045","12,045","11,935","10.40K","-0.38%"
"Feb 10, 2020","12,000","11,995","12,000","11,955","5.07K","0.13%"
"Feb 07, 2020","11,985","11,950","11,985","11,950","0.58K","0.25%"
"Feb 06, 2020","11,955","12,010","12,010","11,930","0.64K","-0.08%"
"Feb 05, 2020","11,965","11,920","11,965","11,920","1.74K","0.25%"
"Feb 04, 2020","11,935","11,945","11,945","11,900","0.86K","-0.08%"
"Feb 03, 2020","11,945","11,880","11,965","11,870","2.28K","0.55%"
"Jan 31, 2020","11,880","11,875","11,930","11,875","1.33K","-0.83%"
"Jan 30, 2020","11,980","11,990","11,990","11,920","1.19K","0.29%"
"Jan 29, 2020","11,945","11,985","11,985","11,910","1.10K","0.29%"
"Jan 28, 2020","11,910","11,965","11,965","11,850","3.44K","-0.63%"
"Jan 23, 2020","11,985","12,035","12,040","11,975","2.18K","-0.58%"
"Jan 22, 2020","12,055","12,000","12,055","11,970","0.68K","0.12%"
"Jan 21, 2020","12,040","12,045","12,045","11,985","1.05K","0.00%"
"Jan 20, 2020","12,040","12,040","12,040","11,965","1.87K","-0.04%"
"Jan 17, 2020","12,045","11,965","12,055","11,955","1.68K","0.25%"
"Jan 16, 2020","12,015","11,975","12,035","11,970","1.28K","-0.17%"
"Jan 15, 2020","12,035","11,955","12,035","11,955","1.03K","0.38%"
