"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2020","32,275","31,985","32,275","31,735","6.39M","0.55%"
"Aug 11, 2020","32,100","31,735","32,275","31,725","0.02K","1.26%"
"Aug 10, 2020","31,700","31,160","31,760","31,145","0.02K","1.49%"
"Aug 09, 2020","31,235","31,235","31,235","31,235","-","0.00%"
"Aug 07, 2020","31,235","31,200","31,395","30,965","6.37M","0.42%"
"Aug 06, 2020","31,105","30,720","31,280","30,720","6.41M","1.58%"
"Aug 05, 2020","30,620","30,375","30,625","30,270","4.86M","1.09%"
"Aug 04, 2020","30,290","30,115","30,405","30,115","0.00K","1.20%"
"Aug 03, 2020","29,930","29,935","30,015","29,740","3.75M","0.00%"
"Aug 02, 2020","29,930","29,930","29,930","29,930","-","0.00%"
"Jul 31, 2020","29,930","30,295","30,415","29,880","4.59M","-0.80%"
"Jul 30, 2020","30,170","30,270","30,400","30,160","0.00K","-0.05%"
"Jul 29, 2020","30,185","30,030","30,380","30,005","5.71M","0.52%"
"Jul 28, 2020","30,030","29,660","30,190","29,655","0.08K","2.09%"
"Jul 27, 2020","29,415","29,085","29,580","29,070","3.80M","0.96%"
"Jul 26, 2020","29,135","29,135","29,135","29,135","-","0.00%"
"Jul 24, 2020","29,135","29,050","29,320","29,005","2.68M","-0.55%"
"Jul 23, 2020","29,295","29,470","29,470","29,095","0.00K","-0.59%"
"Jul 22, 2020","29,470","29,570","29,685","29,420","4.88M","-0.37%"
"Jul 21, 2020","29,580","29,445","29,690","29,395","0.23K","1.46%"
"Jul 20, 2020","29,155","29,310","29,355","28,965","3.21M","-0.24%"
"Jul 19, 2020","29,225","29,225","29,225","29,225","-","0.00%"
"Jul 17, 2020","29,225","29,045","29,270","29,040","3.89M","0.76%"
"Jul 16, 2020","29,005","29,305","29,340","28,920","5.33K","-1.09%"
"Jul 15, 2020","29,325","29,365","29,525","29,175","0.15K","1.00%"
"Jul 14, 2020","29,035","28,875","29,035","28,755","0.36K","-0.15%"
"Jul 13, 2020","29,080","28,930","29,105","28,860","4.43K","1.91%"
"Jul 10, 2020","28,535","28,870","28,890","28,405","4.59M","-0.97%"
"Jul 09, 2020","28,815","28,845","29,025","28,790","0.01K","0.47%"
"Jul 08, 2020","28,680","28,765","28,895","28,600","4.85M","-0.30%"
"Jul 07, 2020","28,765","29,340","29,345","28,745","0.38K","-1.20%"
"Jul 06, 2020","29,115","28,735","29,180","28,690","5.38M","1.53%"
"Jul 05, 2020","28,675","28,675","28,675","28,675","-","0.00%"
"Jul 03, 2020","28,675","28,550","28,690","28,400","3.07M","0.83%"
"Jul 02, 2020","28,440","28,175","28,440","28,150","0.02K","1.26%"
"Jul 01, 2020","28,085","28,385","28,415","28,010","0.52K","0.05%"
"Jun 30, 2020","28,070","28,230","28,430","28,070","6.17M","0.86%"
"Jun 29, 2020","27,830","27,935","28,195","27,730","8.48M","-1.61%"
"Jun 28, 2020","28,285","28,285","28,285","28,285","-","0.00%"
"Jun 26, 2020","28,285","28,165","28,425","28,005","12.52M","1.40%"
"Jun 25, 2020","27,895","28,190","28,375","27,895","12.68M","-2.52%"
"Jun 24, 2020","28,615","28,295","28,780","28,290","0.71K","1.63%"
