"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 26, 2019","8,755","8,735","8,795","8,710","184.76K","0.81%"
"Nov 25, 2019","8,685","8,670","8,725","8,660","158.20K","0.23%"
"Nov 22, 2019","8,665","8,730","8,830","8,630","174.83K","-0.74%"
"Nov 21, 2019","8,730","8,735","8,760","8,660","150.75K","-0.17%"
"Nov 20, 2019","8,745","8,780","8,825","8,745","107.53K","-0.74%"
"Nov 19, 2019","8,810","8,735","8,845","8,675","188.03K","1.21%"
"Nov 18, 2019","8,705","8,760","8,760","8,675","259.81K","0.12%"
"Nov 15, 2019","8,695","8,775","8,800","8,695","326.59K","-0.69%"
"Nov 14, 2019","8,755","8,715","8,795","8,715","117.32K","0.52%"
"Nov 13, 2019","8,710","8,705","8,750","8,685","266.64K","-0.17%"
"Nov 12, 2019","8,725","8,810","8,815","8,700","219.12K","-0.96%"
"Nov 11, 2019","8,810","8,880","8,880","8,770","465.83K","-0.79%"
"Nov 08, 2019","8,880","8,975","9,000","8,865","184.04K","0.00%"
"Nov 07, 2019","8,880","8,880","8,915","8,850","127.73K","0.00%"
"Nov 06, 2019","8,880","8,915","8,960","8,870","213.37K","-0.34%"
"Nov 05, 2019","8,910","8,855","8,990","8,825","601.55K","0.62%"
"Nov 04, 2019","8,855","8,840","8,860","8,815","169.20K","0.57%"
"Nov 01, 2019","8,805","8,625","8,825","8,625","364.65K","1.97%"
"Oct 31, 2019","8,635","8,735","8,735","8,635","144.29K","-1.14%"
"Oct 30, 2019","8,735","8,735","8,735","8,645","149.62K","0.00%"
"Oct 29, 2019","8,735","8,760","8,845","8,710","186.52K","-0.06%"
"Oct 28, 2019","8,740","8,715","8,800","8,715","143.31K","0.52%"
"Oct 25, 2019","8,695","8,690","8,700","8,615","78.74K","0.69%"
"Oct 24, 2019","8,635","8,625","8,675","8,600","70.95K","0.12%"
"Oct 23, 2019","8,625","8,695","8,700","8,615","84.83K","-0.40%"
"Oct 22, 2019","8,660","8,705","8,755","8,630","286.72K","-0.06%"
"Oct 21, 2019","8,665","8,640","8,710","8,630","263.77K","-0.06%"
"Oct 18, 2019","8,670","8,805","8,835","8,635","170.04K","-1.37%"
"Oct 17, 2019","8,790","8,835","8,835","8,785","89.91K","-0.51%"
"Oct 16, 2019","8,835","8,870","8,900","8,825","128.58K","-0.06%"
"Oct 15, 2019","8,840","8,905","8,905","8,825","83.08K","-0.73%"
"Oct 14, 2019","8,905","8,870","8,935","8,840","339.73K","1.19%"
"Oct 11, 2019","8,800","8,795","8,825","8,735","99.54K","0.69%"
"Oct 10, 2019","8,740","8,680","8,750","8,635","76.95K","0.63%"
"Oct 08, 2019","8,685","8,630","8,705","8,615","71.71K","0.70%"
"Oct 07, 2019","8,625","8,610","8,630","8,595","88.22K","0.41%"
"Oct 04, 2019","8,590","8,620","8,620","8,560","35.01K","-0.35%"
"Oct 02, 2019","8,620","8,600","8,640","8,585","124.13K","-0.29%"
"Oct 01, 2019","8,645","8,675","8,680","8,610","98.36K","0.00%"
"Sep 30, 2019","8,645","8,650","8,700","8,620","58.16K","-0.92%"
"Sep 27, 2019","8,725","8,725","8,735","8,655","128.69K","0.00%"
"Sep 26, 2019","8,725","8,785","8,790","8,700","113.12K","-0.11%"
"Sep 25, 2019","8,735","8,740","8,765","8,705","116.98K","-0.40%"
"Sep 24, 2019","8,770","8,730","8,815","8,730","310.59K","0.29%"
"Sep 23, 2019","8,745","8,860","8,860","8,730","179.00K","-1.35%"
"Sep 20, 2019","8,865","8,855","8,915","8,855","110.71K","0.11%"
"Sep 19, 2019","8,855","8,835","8,905","8,815","132.07K","0.17%"
"Sep 18, 2019","8,840","8,830","8,855","8,785","141.63K","0.68%"
"Sep 17, 2019","8,780","8,905","8,920","8,760","177.41K","-1.46%"
"Sep 16, 2019","8,910","8,895","8,920","8,875","127.58K","0.91%"
"Sep 11, 2019","8,830","8,935","8,935","8,830","129.28K","-0.84%"
"Sep 10, 2019","8,905","8,975","8,975","8,870","125.84K","-0.39%"
"Sep 09, 2019","8,940","8,900","8,960","8,880","264.62K","0.79%"
"Sep 06, 2019","8,870","8,900","8,990","8,825","137.74K","-0.11%"
"Sep 05, 2019","8,880","8,775","8,950","8,770","931.87K","1.43%"
"Sep 04, 2019","8,755","8,720","8,765","8,690","92.45K","0.52%"
