"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2020","127,980","127,795","128,005","127,665","4.08K","0.06%"
"Aug 10, 2020","127,900","128,150","128,150","127,790","9.29K","-0.27%"
"Aug 07, 2020","128,250","128,430","128,430","128,205","4.30K","-0.09%"
"Aug 06, 2020","128,360","128,380","128,410","128,280","6.70K","-0.14%"
"Aug 05, 2020","128,545","128,410","128,630","128,410","5.95K","0.15%"
"Aug 04, 2020","128,350","128,315","128,360","128,165","4.71K","0.03%"
"Aug 03, 2020","128,315","128,420","128,570","128,315","7.67K","-0.15%"
"Jul 31, 2020","128,505","128,550","128,815","128,455","8.77K","-0.04%"
"Jul 30, 2020","128,550","128,300","128,550","128,300","6.85K","0.18%"
"Jul 29, 2020","128,315","128,385","128,385","128,200","7.20K","0.16%"
"Jul 28, 2020","128,110","127,800","128,465","127,800","5.95K","-0.14%"
"Jul 27, 2020","128,295","128,385","128,445","128,170","4.63K","0.00%"
"Jul 24, 2020","128,290","128,195","128,390","128,165","4.56K","0.10%"
"Jul 23, 2020","128,165","127,920","128,215","127,915","9.13K","0.25%"
"Jul 22, 2020","127,850","127,740","127,875","127,740","7.17K","0.09%"
"Jul 21, 2020","127,740","127,805","127,985","127,740","8.38K","-0.12%"
"Jul 20, 2020","127,890","127,685","127,905","127,650","15.02K","0.15%"
"Jul 17, 2020","127,695","127,500","127,745","127,460","6.02K","0.29%"
"Jul 16, 2020","127,325","127,010","127,435","126,950","4.83K","0.28%"
"Jul 15, 2020","126,975","127,010","127,100","126,875","2.98K","0.02%"
"Jul 14, 2020","126,950","126,975","127,205","126,885","4.96K","-0.02%"
"Jul 13, 2020","126,975","127,095","127,095","126,780","8.60K","-0.14%"
"Jul 10, 2020","127,155","127,170","127,300","127,130","6.67K","-0.01%"
"Jul 09, 2020","127,170","127,275","127,300","127,100","27.56K","-0.08%"
"Jul 08, 2020","127,275","127,285","127,300","127,100","2.46K","0.07%"
"Jul 07, 2020","127,185","126,960","127,185","126,835","8.53K","0.17%"
"Jul 06, 2020","126,970","127,220","127,245","126,805","34.65K","-0.20%"
"Jul 03, 2020","127,220","127,270","127,370","127,170","4.14K","-0.04%"
"Jul 02, 2020","127,270","126,965","127,325","126,965","3.16K","0.28%"
"Jul 01, 2020","126,910","127,320","127,380","126,800","12.12K","-0.32%"
"Jun 30, 2020","127,320","127,360","127,405","127,150","19.86K","-0.03%"
"Jun 29, 2020","127,355","127,745","127,770","127,320","4.69K","-0.31%"
"Jun 26, 2020","127,745","127,700","127,830","127,575","10.01K","0.21%"
"Jun 25, 2020","127,475","127,590","127,590","127,380","5.55K","0.11%"
"Jun 24, 2020","127,335","127,110","127,460","127,085","8.65K","0.19%"
"Jun 23, 2020","127,090","126,840","127,375","126,840","7.70K","0.00%"
"Jun 22, 2020","127,090","127,185","127,185","126,785","4.73K","-0.07%"
"Jun 19, 2020","127,185","127,145","127,275","127,055","4.85K","-0.02%"
"Jun 18, 2020","127,215","126,800","127,215","126,800","1.98K","0.33%"
"Jun 17, 2020","126,800","126,800","126,990","126,430","2.80K","-0.09%"
"Jun 16, 2020","126,910","126,705","126,990","126,455","14.40K","0.15%"
"Jun 15, 2020","126,720","127,150","127,230","126,525","5.67K","-0.25%"
"Jun 12, 2020","127,040","128,900","128,900","126,950","21.37K","-0.00%"
"Jun 11, 2020","127,045","127,290","127,430","127,045","0.02K","0.12%"
"Jun 10, 2020","126,890","127,200","127,200","126,685","48.95K","0.02%"
"Jun 09, 2020","126,870","126,700","126,895","126,465","36.96K","0.43%"
"Jun 08, 2020","126,330","125,950","126,650","125,950","12.78K","-0.01%"
"Jun 05, 2020","126,340","129,850","129,850","126,000","7.17K","-0.17%"
"Jun 04, 2020","126,555","126,560","126,880","126,430","22.68K","-0.09%"
"Jun 03, 2020","126,675","127,115","127,320","126,475","13.57K","-0.26%"
"Jun 02, 2020","127,000","126,940","127,045","126,555","47.62K","0.01%"
"Jun 01, 2020","126,990","127,130","127,130","126,855","5.03K","-0.11%"
"May 29, 2020","127,130","127,450","127,650","126,990","13.39K","-0.25%"
"May 28, 2020","127,450","127,430","128,685","127,090","33.04K","0.04%"
"May 27, 2020","127,395","127,535","127,640","127,270","4.86K","-0.11%"
"May 26, 2020","127,535","127,685","127,995","127,420","11.13K","-0.13%"
"May 25, 2020","127,705","128,000","128,000","127,325","31.49K","0.31%"
"May 22, 2020","127,310","127,405","127,755","127,050","11.42K","-0.08%"
"May 21, 2020","127,410","127,300","127,410","127,015","21.62K","0.25%"
"May 20, 2020","127,095","126,850","127,200","126,850","2.01K","0.15%"
"May 19, 2020","126,910","126,450","126,935","126,405","15.13K","0.05%"
"May 18, 2020","126,845","126,950","126,950","126,800","5.55K","-0.08%"
"May 15, 2020","126,950","126,760","127,005","126,760","9.08K","-0.02%"
"May 14, 2020","126,975","127,000","127,065","126,730","12.58K","0.11%"
"May 13, 2020","126,835","126,600","126,935","126,510","3.73K","0.31%"
"May 12, 2020","126,445","126,045","126,460","125,955","2.69K","0.23%"
"May 11, 2020","126,155","126,355","126,370","126,150","11.53K","-0.08%"
"May 08, 2020","126,255","125,985","126,345","125,985","2.34K","0.41%"
"May 07, 2020","125,745","125,550","125,835","125,410","4.29K","0.16%"
"May 06, 2020","125,550","125,510","125,680","125,510","5.91K","0.00%"
"May 04, 2020","125,545","125,575","125,775","125,280","6.89K","0.12%"
"May 03, 2020","125,395","125,395","125,395","125,395","-","0.00%"
"Apr 29, 2020","125,395","125,150","125,395","125,050","4.26K","0.34%"
"Apr 28, 2020","124,965","124,475","124,965","124,475","66.98K","0.14%"
"Apr 27, 2020","124,795","124,990","124,990","124,745","5.27K","-0.16%"
"Apr 24, 2020","124,995","124,960","125,165","124,680","9.56K","-0.04%"
"Apr 23, 2020","125,040","125,025","125,500","124,775","23.02K","-0.06%"
"Apr 22, 2020","125,120","126,145","126,145","125,060","11.02K","-0.68%"
"Apr 21, 2020","125,975","126,270","126,315","125,200","10.43K","-0.15%"
"Apr 20, 2020","126,165","125,955","126,395","125,865","34.49K","0.03%"
"Apr 17, 2020","126,125","126,215","126,215","125,900","10.17K","-0.24%"
"Apr 16, 2020","126,425","126,185","126,425","125,950","25.33K","0.47%"
"Apr 14, 2020","125,830","125,805","125,895","125,470","21.09K","-0.02%"
"Apr 13, 2020","125,855","125,920","126,000","125,800","3.32K","-0.18%"
"Apr 10, 2020","126,080","126,035","126,295","125,920","7.46K","0.04%"
"Apr 09, 2020","126,035","125,160","126,065","124,965","12.28K","0.70%"
